Tweet User,Location,Following,Followers,Total Tweets,Tweet,Time of Tweet,Account Created
MsNadaNee,New Orleans ;La to Atlanta; Ga,433,240,46904,It's not fair... playing in the WomanKing got me missing AnnaliseKeating and my TGIT line up!GreysAnatomy ScandalHTGAWM ...Annalise was a Bad @$$...Period. ,2022-09-29 17:03:06+00:00,2012-10-01 05:46:58+00:00
Lloyd_HBMG,NG|TX,2003,3339,75746,I am yet to watch woman king WomanKing,2022-09-29 16:58:21+00:00,2012-12-13 17:53:04+00:00
MommyTalkShow,"Atlanta, GA",21604,21095,119057,How  Forever Changed The Way I Parent:  TheWomanKing WomanKing ViolaDavis GinaPrinceBythewood ,2022-09-29 16:57:42+00:00,2010-12-01 15:55:40+00:00
Enigmacity,Port Harcourt,829,15650,35496,Strategy always wins!WomanKing ,2022-09-29 16:57:00+00:00,2011-03-23 17:36:14+00:00
alwaysinblackkk,,68,1019,244,I can’t believe people tried to boycott WomanKing then turned around and praised the JeffreyDahmer show. selective outrage is so weird.,2022-09-29 16:41:15+00:00,2016-07-08 13:38:44+00:00
ShechangesE,,81,109,7439,"Welcome to ThankfulThursday . I'm thankful WomanKing is the 1 movie in America,  continues to rise and just a few weeks away to VoteBlueToSaveAmerica . How bout you ?thursdaymorning ThursdayMotivation ReparationsNow supportblackbusiness ",2022-09-29 16:30:00+00:00,2019-01-05 22:05:31+00:00
selecta1ness,Right Here Right Now 🌟,11,682,349,"Now LISTEN - Respect The Woman As The Celebrity 🌟 Star Of The Show, Because Ancient Teachings And Natural Science Agree That To Be So 🎆 WomanKing BoycottWomanKing ",2022-09-29 16:28:25+00:00,2016-03-15 03:58:22+00:00
TajMarie17,"Triangle, NC",845,1236,26372,"  Try as you might towards pushing revisionist tales, the truth will always prevail. Trading nearly 20 percent of slaves into the Atlantic Slave Trade is not celebratory.WomanKing WomanKingMoveBoycottWomanKingboycottthewomanking ",2022-09-29 16:24:46+00:00,2018-04-11 21:32:47+00:00
JerrellZod,At Gold's Gym making gains.,631,1274,178510,The Dahomey kingdom whose earlier history is told in WomanKing . ,2022-09-29 16:17:48+00:00,2015-08-21 17:45:52+00:00
mamachell,"Kingston, Jamaica + Everywhere",321,23501,133495,"I love how this guy set the WomanKing critics str8. Calmly and with receipts. I've always said, if they truly taught CORRECT history in schools we'd view life differently. When I studied history &amp; learned the horrors. I viewed life n society way different. ",2022-09-29 16:08:11+00:00,2009-04-21 23:53:03+00:00
deshaswrld,,979,5042,112597,Women King was based off the Orishas? Oba Orisha WomanKing,2022-09-29 15:36:44+00:00,2011-02-06 21:33:04+00:00
ofentse__pitse,"Johannesburg, South Africa",1226,4962,9774,"I've always known that women are kings, drawing reference from the Setswana phrase:""Mosadi otswara thipa fo bogkaleng"" (a women holds the sharpest end of the knife/sword).  May this era remind us of that. womanking ",2022-09-29 15:33:54+00:00,2011-08-21 16:10:09+00:00
realshittalka,,40,1,4,I love Thuso Mbedu kodwa ngathi she has4 the same chest disease as Uncle Waffles... Girl really a kingWomanKing  Shittalka,2022-09-29 15:32:23+00:00,2022-09-29 06:29:16+00:00
